title;type;scimago_value;jcs_value
Australian Health Review;journal;0.64;1.99
IET Electrical Systems in Transportation;journal;0.59;2.27
Journal of Topology and Analysis;journal;0.58;0.46
Health Care Analysis;journal;0.54;2.52
Clinical Medicine;journal;0.53;2.66
Multisensory research;journal;0.52;2.29
Journal of Integrative Environmental Sciences;journal;0.50;1.88
Environmental Engineering Science;journal;0.46;1.91
Contemporary Southeast Asia;journal;0.44;1.30
IEEE Magnetics Letters;journal;0.43;1.55
Operative Orthopadie und Traumatologie;journal;0.42;1.15
High Performance Polymers;journal;0.41;2.16
Journal of Southern Hemisphere Earth Systems Science;journal;0.40;0.63
Transactions on Emerging Telecommunications Technologies;journal;0.37;2.64
Czech Journal of Food Sciences;journal;0.36;1.28
Anthropologie;journal;0.33;0.47
International Journal of Distributed Sensor Networks;journal;0.32;1.64
International Journal of Cast Metals Research;journal;0.31;1.08
Journal of Food and Nutrition Research;journal;0.31;1.33
Revista de Biologia Tropical;journal;0.31;0.72
Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromaticas;journal;0.22;0.91
Entomological News;journal;0.19;0.36
Hyle;journal;0.15;0.29
Aktuelle Urologie;journal;0.14;0.66
Journal of Latin American Cultural Studies;journal;0.11;0.23
NBER Macroeconomics Annual;book series;10.54;4.43
Blood;journal;5.52;22.11
PLoS Biology;journal;4.13;8.03
IEEE Transactions on Smart Grid;journal;3.57;8.96
Cell Discovery;journal;3.41;10.85
BMJ Global Health;journal;2.11;5.56
Seminars in Arthritis and Rheumatism;journal;1.96;5.53
IEEE Transactions on Cognitive Communications and Networking;journal;1.42;4.34
British Journal of Criminology;journal;1.40;3.24
Separation and Purification Reviews;journal;1.11;9.64
Drug and Alcohol Review;journal;1.02;3.34
American Journal of Evaluation;journal;0.96;1.97
International Journal of Bilingualism;journal;0.95;1.69
Clinical and Experimental Otorhinolaryngology;journal;0.94;3.37
Journal of Esthetic and Restorative Dentistry;journal;0.92;2.84
Current Issues in Language Planning;journal;0.89;1.52
Polar Biology;journal;0.87;2.31
Stochastic Environmental Research and Risk Assessment;journal;0.83;3.38
Irrigation Science;journal;0.81;2.94
European Political Science;journal;0.78;1.76
Hormone and Metabolic Research;journal;0.76;2.94
Clinical Drug Investigation;journal;0.74;2.86
Egyptian Informatics Journal;journal;0.73;3.94
Journal of Saudi Chemical Society;journal;0.67;3.93
Journal of School Nursing;journal;0.62;2.84
Korean Journal of Pain;journal;0.53;3.02
Journal of Automated Reasoning;journal;0.50;0.94
Journal of Peptide Science;journal;0.48;1.91
Neural Processing Letters;journal;0.46;2.91
IEEE Microwave Magazine;journal;0.44;2.71
Advances in Applied Clifford Algebras;journal;0.44;1.07
International Journal of Plant Production;journal;0.43;2.02
Journal of Strain Analysis for Engineering Design;journal;0.41;1.54
Biomedical Chromatography;journal;0.40;1.90
Journal of Homotopy and Related Structures;journal;0.35;0.38
Experimental Techniques;journal;0.33;1.17
Kybernetes;journal;0.31;2.24
Psychiatry and Clinical Psychopharmacology;journal;0.30;1.18
Microelectronics Journal;journal;0.29;1.61
International Journal of Electrical Engineering Education;journal;0.29;3.80
Journal of Electromagnetic Waves and Applications;journal;0.29;1.34
Indian Journal of Traditional Knowledge;journal;0.19;0.76
Dissent;journal;0.15;0.50
Propagation of Ornamental Plants;journal;0.14;0.28
Reviews of Geophysics;journal;8.09;22.00
European Heart Journal;journal;4.34;29.98
npj Climate and Atmospheric Science;journal;3.18;8.62
Information Fusion;journal;2.78;12.98
Quarterly Journal of Political Science;journal;2.76;2.00
Quarterly Reviews of Biophysics;journal;2.61;5.32
Journal of the American Heart Association;journal;2.49;5.50
Bioactive Materials;journal;2.17;14.59
Annals of the American Thoracic Society;journal;2.04;6.83
Oxford Review of Economic Policy;journal;1.95;3.91
HPB;journal;1.58;3.65
Atherosclerosis;journal;1.55;5.16
Tree Physiology;journal;1.41;4.20
Archives of Orthopaedic and Trauma Surgery;journal;1.33;3.07
Journal of Asian Earth Sciences;journal;1.32;3.45
Frontiers in Zoology;journal;1.30;3.17
Frontiers in Behavioral Neuroscience;journal;1.26;3.56
Biomolecules;journal;1.13;4.88
Journal of Pragmatics;journal;0.94;1.48
EJNMMI Research;journal;0.92;3.14
European Journal of Phycology;journal;0.87;2.80
Journal of Cultural Economics;journal;0.82;2.32
Theoretical and Computational Fluid Dynamics;journal;0.82;1.61
Neurological Sciences;journal;0.77;3.31
Scandinavian Journal of Psychology;journal;0.74;2.34
Review of Palaeobotany and Palynology;journal;0.74;1.94
Recent Patents on Anti-Cancer Drug Discovery;journal;0.71;4.17
Journal of Institutional Economics;journal;0.69;2.05
Communications in Algebra;journal;0.68;0.76
IEEE Micro;journal;0.65;4.18
World Journal of Pediatrics;journal;0.65;2.76
Avian Research;journal;0.60;1.77
Italian Journal of Animal Science;journal;0.57;2.22
Acta Chimica Sinica;journal;0.57;2.67
International Journal of Gastronomy and Food Science;journal;0.52;2.54
Economic Research-Ekonomska Istrazivanja;journal;0.51;3.03
Central European Journal of Energetic Materials;journal;0.51;0.95
Stratigraphy and Geological Correlation;journal;0.49;0.86
Applied Economics Letters;journal;0.38;1.16
Interaction Studies;journal;0.37;0.82
Annales de Paleontologie;journal;0.37;0.70
Seminars in Orthodontics;journal;0.36;0.97
Journal of Plant Biochemistry and Biotechnology;journal;0.33;1.18
Grundwasser;journal;0.32;0.58
Bulletin of the Korean Mathematical Society;journal;0.30;0.50
Informacios Tarsadalom;journal;0.19;0.16
Duke Mathematical Journal;journal;3.89;2.40
npj Breast Cancer;journal;2.75;6.92
Journal of Topology;journal;2.45;1.58
Redox Biology;journal;2.06;11.80
IEEE Transactions on Control of Network Systems;journal;1.96;3.50
Ecological Economics;journal;1.92;5.39
European Journal of Human Genetics;journal;1.59;4.25
Journal of the Geological Society;journal;1.43;3.80
Geochemical Perspectives;journal;1.30;3.00
Neural Plasticity;journal;1.29;3.60
American Journal of Medicine;journal;1.13;4.97
Current Opinion in Chemical Engineering;journal;1.07;5.16
Inflammation;journal;1.03;4.09
Expert Opinion on Emerging Drugs;journal;0.98;4.19
Research in Human Development;journal;0.93;2.18
Russian Mathematical Surveys;journal;0.89;1.91
Ad Hoc Networks;journal;0.78;4.11
RSC Medicinal Chemistry;journal;0.75;""
Journal of Instrumentation;journal;0.74;1.42
Journal of Asthma;journal;0.69;2.52
Journal of Contemporary Brachytherapy;journal;0.67;1.66
Chinese Journal of Natural Medicines;journal;0.66;3.00
Annals of the Institute of Statistical Mathematics;journal;0.65;1.27
Australian Journal of Grape and Wine Research;journal;0.65;2.69
European Journal of Mineralogy;journal;0.64;1.57
Photogrammetric Record;journal;0.64;2.74
BioMedical Engineering Online;journal;0.60;2.82
Journal of Patient Safety;journal;0.55;2.84
Violence and Victims;journal;0.54;1.39
European Journal of the History of Economic Thought;journal;0.53;0.63
Annals of Noninvasive Electrocardiology;journal;0.49;1.47
Economics and Philosophy;journal;0.46;1.03
Polymer Bulletin;journal;0.44;2.87
Asia Europe Journal;journal;0.43;1.85
European Urology Open Science;journal;0.42;""
Journal of Renal Care;journal;0.38;1.29
Zeitschrift fur Padagogische Psychologie;journal;0.35;0.90
IEEE Computer Architecture Letters;journal;0.27;1.27
Discrete Dynamics in Nature and Society;journal;0.26;1.35
Journal of Energy in Southern Africa;trade journal;0.24;0.66
Journal of Exotic Pet Medicine;journal;0.22;0.45
Annual Review of Biophysics;journal;9.14;12.98
Molecular Therapy;journal;3.87;11.45
npj Flexible Electronics;journal;3.83;12.74
Journal of Materials Chemistry A;journal;3.64;12.73
Journal of Virology;journal;2.62;5.10
Critical Perspectives on Accounting;journal;2.04;3.18
Journal of Bone and Mineral Research;journal;1.88;6.74
European Journal of Neurology;journal;1.88;6.09
Journal of the ACM;journal;1.67;1.74
Sport Management Review;journal;1.57;6.58
Proceedings of the Nutrition Society;journal;1.42;6.30
Journal of Immunology Research;journal;1.32;4.82
Animal Cognition;journal;1.29;3.08
Journal of NeuroImmune Pharmacology;journal;1.22;4.15
General Hospital Psychiatry;journal;1.21;3.24
International Journal of Urology;journal;1.17;3.37
Cell Structure and Function;journal;1.15;2.21
American Journal of Reproductive Immunology;journal;1.07;3.89
Computational Optimization and Applications;journal;1.03;2.17
ACI Structural Journal;journal;0.95;1.74
Ceramics International;journal;0.94;4.53
Quaternary International;journal;0.93;2.13
Journal of Sexual Medicine;journal;0.93;3.80
Optical Materials Express;journal;0.93;3.44
Clinica Chimica Acta;journal;0.92;3.79
Journal of Behavioral Finance;journal;0.91;1.65
Magazine of Concrete Research;journal;0.90;2.50
Journal of Computational and Applied Mathematics;journal;0.88;2.62
Bioelectrochemistry;journal;0.86;5.37
Journal of Fish Diseases;journal;0.82;2.77
Human Factors;journal;0.82;2.89
ChemMedChem;journal;0.82;3.47
International Journal of Intercultural Relations;journal;0.81;2.67
Family Relations;journal;0.77;3.08
Experimental Heat Transfer;journal;0.76;4.06
Saudi Pharmaceutical Journal;journal;0.71;4.33
Journal of Engineering Design;journal;0.69;2.59
Journal of Artificial Intelligence and Soft Computing Research;journal;0.69;2.50
International Journal of Dental Hygiene;journal;0.67;2.48
Journal of Biomedical Semantics;journal;0.67;2.16
Journal of Hydroinformatics;journal;0.65;2.38
Meteorology and Atmospheric Physics;journal;0.63;2.07
Minerva Medica;journal;0.63;4.81
Transportation Research Record;book series;0.62;1.56
Diagnostics;journal;0.62;3.71
Mammal Research;journal;0.62;1.72
Avian Diseases;journal;0.58;1.58
Minerals;journal;0.52;2.64
Journal of Veterinary Medical Science;journal;0.51;1.27
Neotropical Entomology;journal;0.49;1.43
International Journal of Steel Structures;journal;0.46;1.35
Journal of the American Society for Horticultural Science;journal;0.41;1.14
Digital Scholarship in the Humanities;journal;0.40;0.89
Education as Change;journal;0.40;0.67
Latin American Journal of Solids and Structures;journal;0.39;1.25
Connection Science;journal;0.38;1.97
Journal of Integrative Neuroscience;journal;0.34;2.12
Processing and Application of Ceramics;journal;0.33;1.80
Ornithological Science;journal;0.32;0.89
Circulo de Linguistica Aplicada a la Comunicacion;journal;0.30;0.58
Veterinary Record;journal;0.26;2.70
Environmental Engineering and Management Journal;journal;0.25;0.92
European Journal of Inflammation;journal;0.22;0.47
Turk Psikiyatri Dergisi;journal;0.22;0.84
Control Engineering and Applied Informatics;journal;0.21;0.97
Nature Geoscience;journal;5.44;16.91
Optica;journal;5.07;11.10
Annual Review of Financial Economics;journal;3.90;2.88
Annals of Family Medicine;journal;1.92;5.17
Combustion and Flame;journal;1.89;4.19
Journal of the Mechanics and Physics of Solids;journal;1.86;5.47
International Journal of Educational Technology in Higher Education;journal;1.64;4.94
International Journal of Multilingualism;journal;1.55;2.71
IEEE Transactions on Energy Conversion;journal;1.54;4.31
Biotechnology for Biofuels;journal;1.44;6.04
Food Control;journal;1.37;5.55
Frontiers of Medicine;journal;1.24;4.59
International Journal of Multiphase Flow;journal;1.17;3.19
Virologica Sinica;journal;1.03;4.33
Geoscience Letters;journal;1.03;3.54
Zoological research;journal;0.93;4.56
Design Studies;journal;0.91;3.09
Journal of Insect Physiology;journal;0.90;2.35
Journal of Cosmology and Astroparticle Physics;journal;0.87;5.84
Adipocyte;journal;0.87;4.53
German Politics;journal;0.84;2.16
Environmental Health and Preventive Medicine;journal;0.81;3.67
Geopolitics;journal;0.81;4.12
Inland Waters;journal;0.69;2.30
Quintessence International;journal;0.65;1.68
Experimental Agriculture;journal;0.59;2.12
International Tax and Public Finance;journal;0.56;1.34
Porta Linguarum;journal;0.55;1.20
Journal of Water Reuse and Desalination;journal;0.55;3.15
Current Problems in Surgery;journal;0.49;1.91
Materials Technology;journal;0.47;3.85
Revista Espanola de Cardiologia;journal;0.46;4.75
Bulletin of the Menninger Clinic;journal;0.41;0.98
Arquivos Brasileiros de Cardiologia;journal;0.40;2.00
Journal of Adhesion Science and Technology;journal;0.40;2.08
Studies on Neotropical Fauna and Environment;journal;0.31;0.57
Canadian Journal of Criminology and Criminal Justice;journal;0.30;1.66
Iowa Law Review;journal;0.28;1.14
Farmacia;journal;0.28;1.43
Journal of the Faculty of Engineering and Architecture of Gazi University;journal;0.24;0.97
Biology Bulletin;journal;0.22;0.39
International Journal;journal;0.20;0.84
MMWR Recommendations and Reports;journal;40.95;55.86
Nature Communications;journal;5.56;14.92
Progress in Neurobiology;journal;3.91;11.69
Neuroscience and Biobehavioral Reviews;journal;3.59;8.99
Cancer Science;journal;2.04;6.72
Mitochondrion;journal;1.40;4.16
Journal of Sport and Health Science;journal;1.39;7.18
Expert Systems with Applications;journal;1.37;6.95
Translational Oncology;journal;1.34;4.24
Plasma Physics and Controlled Fusion;journal;1.33;2.46
Criminal Justice and Behavior;journal;1.30;2.80
Regional Environmental Change;journal;1.28;3.68
International Journal of Sustainable Transportation;journal;1.25;3.93
Chinese Physics C;journal;1.21;2.15
Journal of Athletic Training;journal;1.19;2.86
Clinical Oral Investigations;journal;1.09;3.57
Neurosurgical Review;journal;1.06;3.04
Nutrient Cycling in Agroecosystems;journal;1.03;3.27
Journal of Cellular Biochemistry;journal;1.03;4.43
Pulmonology;journal;0.83;3.58
Carpathian Journal of Mathematics;journal;0.81;1.78
European Journal of Special Needs Education;journal;0.81;2.08
Cancer Nursing;journal;0.79;2.59
Asian Herpetological Research;journal;0.76;1.83
Small Group Research;journal;0.76;2.66
Hand Clinics;journal;0.74;1.91
Journal of Trace Elements in Medicine and Biology;journal;0.74;3.85
Contributions to Zoology;journal;0.72;2.84
Epileptic Disorders;journal;0.67;1.82
JOM;journal;0.67;2.47
Journal of Material Cycles and Waste Management;journal;0.66;2.86
Therapeutic Drug Monitoring;journal;0.65;3.68
Human Rights Law Review;journal;0.62;1.57
Open Economies Review;journal;0.62;1.50
Advances in Mathematics of Communications;journal;0.60;0.94
Journal of Approximation Theory;journal;0.60;1.09
Asymptotic Analysis;journal;0.58;0.99
Advances in Geometry;journal;0.58;0.72
Journal of Cosmetic and Laser Therapy;journal;0.57;2.25
Baltic Journal of Management;journal;0.51;2.90
Disaster Medicine and Public Health Preparedness;journal;0.49;1.39
Journal of Petroleum Exploration and Production Technology;journal;0.41;2.08
Economics of Governance;journal;0.35;0.81
Chemical Papers;journal;0.34;2.10
Open Geosciences;journal;0.30;1.23
Journal of Real-Time Image Processing;journal;0.30;2.36
Southeastern Naturalist;journal;0.27;0.55
Dialectologia et Geolinguistica;journal;0.19;0.29
Journal of Statistical Software;journal;7.64;6.44
Journal of Computer-Mediated Communication;journal;4.15;5.41
Blood Cancer Journal;journal;3.61;11.04
Advanced Drug Delivery Reviews;journal;3.48;15.47
American Journal of Ophthalmology;journal;2.70;5.26
Journal of Interactive Marketing;journal;2.61;6.26
Solar RRL;journal;2.54;8.58
Agricultural Systems;journal;1.69;5.37
FEBS Letters;journal;1.59;4.12
Plant Genome;journal;1.40;4.09
Catalysis Today;journal;1.40;6.77
Plant Methods;journal;1.35;4.99
Stem Cell Reviews and Reports;journal;1.25;5.74
Social Problems;journal;1.18;3.12
Journal of Hospital Infection;journal;1.14;3.93
Numerical Linear Algebra with Applications;journal;1.02;2.11
Applied Geochemistry;journal;1.02;3.52
Applied Spectroscopy Reviews;journal;0.98;5.92
Structure and Infrastructure Engineering;journal;0.98;3.09
Journal of Microbiology;journal;0.97;3.42
Physiological and Biochemical Zoology;journal;0.96;2.25
Asia Pacific Journal of Human Resources;journal;0.83;4.14
Mineralogy and Petrology;journal;0.82;1.71
Research Quarterly for Exercise and Sport;journal;0.79;2.50
Peritoneal Dialysis International;journal;0.79;1.76
Extremophiles;journal;0.77;2.40
Asian Population Studies;journal;0.76;2.32
Journal of Developmental Origins of Health and Disease;journal;0.74;2.40
Neuropsychological Rehabilitation;journal;0.72;2.87
Distributed Computing;journal;0.71;1.33
Fish Physiology and Biochemistry;journal;0.68;2.79
Photonics;journal;0.67;2.68
Arthropod-Plant Interactions;journal;0.65;1.99
Anales de Psicologia;journal;0.58;2.05
Mobilization;journal;0.56;2.00
Intervention in School and Clinic;journal;0.53;1.21
University of Chicago Law Review;journal;0.50;2.72
Chemical Physics;journal;0.49;2.35
International Journal of Automotive Technology;journal;0.47;1.27
Revista Chilena de Derecho;journal;0.47;0.19
Journal of Electrostatics;journal;0.47;1.78
IEEE Transactions on Plasma Science;journal;0.46;1.22
International Review of Law and Economics;journal;0.44;0.93
Frontiers of Computer Science;journal;0.41;2.06
East European Politics and Societies;journal;0.38;1.43
Geology of Ore Deposits;journal;0.36;0.67
American Fern Journal;journal;0.35;0.86
Linguistic Review;journal;0.35;0.63
Geomagnetism and Aeronomy;journal;0.34;0.70
Geologica Belgica;journal;0.23;0.77
Hautarzt;journal;0.22;0.75
Estudios de Economia;journal;0.20;1.00
Southwestern Naturalist;journal;0.17;0.27
Korea Observer;journal;0.16;0.29
Computing and Informatics;journal;0.15;0.32
Cirugia y Cirujanos;journal;0.14;0.36
Review of Financial Studies;journal;12.80;5.84
Living Reviews in Relativity;journal;11.55;40.43
Annual Review of Economics;journal;7.16;4.19
Political Analysis;journal;3.95;8.60
ACS Synthetic Biology;journal;2.16;5.11
Current Opinion in Insect Science;journal;2.07;5.19
Influenza and other Respiratory Viruses;journal;1.74;4.38
Developmental Neurobiology;journal;1.72;3.96
Genome Biology and Evolution;journal;1.70;3.42
Oral Oncology;journal;1.62;5.34
Polymer Chemistry;journal;1.40;5.58
Science and Technology of Welding and Joining;journal;1.27;4.56
Journal of Early Childhood Literacy;journal;1.20;2.77
International Journal of Logistics Management;journal;1.19;5.66
Brain and Language;journal;1.16;2.38
Physical Biology;journal;1.14;2.58
npj Primary Care Respiratory Medicine;journal;1.11;2.87
Purinergic Signalling;journal;1.06;3.77
Advances in Agronomy;book series;1.05;6.92
IEEE Transactions on Reliability;journal;1.03;4.42
Topics in Early Childhood Special Education;journal;0.97;2.11
Frontiers in Pediatrics;journal;0.96;3.42
Human Performance;journal;0.94;2.42
Hydrometallurgy;journal;0.94;4.16
Abdominal Radiology;journal;0.82;3.04
ICT Express;journal;0.73;4.32
Mediterranean Journal of Mathematics;journal;0.70;1.40
Sociological Methodology;journal;0.66;2.16
International Journal of Simulation Modelling;journal;0.60;3.23
Molecular Biotechnology;journal;0.59;2.70
Journal of Biopharmaceutical Statistics;journal;0.56;1.05
Nursing Open;journal;0.55;1.76
Theory of Computing;journal;0.54;1.00
Bioenergy Research;journal;0.53;2.81
Communication Disorders Quarterly;journal;0.52;0.98
Culture and Organization;journal;0.52;1.54
International Journal of Precision Engineering and Manufacturing;journal;0.51;2.11
Journal of Food Processing and Preservation;journal;0.51;2.19
European Zoological Journal;journal;0.49;1.75
Thoracic Surgery Clinics;journal;0.47;1.75
Planta Medica;journal;0.42;3.35
Journal of Nutritional Science and Vitaminology;journal;0.41;2.00
Nautilus;journal;0.33;0.74
Engineering Economist;journal;0.28;0.86
Revista Fitotecnia Mexicana;journal;0.24;0.61
Canadian Historical Review;journal;0.23;0.49
Transinformacao;journal;0.16;0.65
Caribbean Journal of Science;journal;0.13;0.94
Engineering;journal;0.10;7.55
American Sociological Review;journal;6.28;9.65
Journal of Monetary Economics;journal;4.99;4.27
Chemistry of Materials;journal;3.74;9.81
Gastric Cancer;journal;2.82;7.37
Cryosphere;journal;2.57;5.77
Journal of Youth and Adolescence;journal;1.88;4.38
Journal of Environmental Psychology;journal;1.75;5.19
Particle and Fibre Toxicology;journal;1.75;9.40
DNA Research;journal;1.65;4.46
IEEE Journal of Emerging and Selected Topics in Power Electronics;journal;1.57;4.47
Allergology International;journal;1.49;5.84
Medical Clinics of North America;journal;1.44;5.46
Epigenomics;journal;1.27;4.78
Journal of Social and Personal Relationships;journal;1.25;3.04
Studies in Applied Mathematics;journal;1.16;3.00
Journal of Materials in Civil Engineering;journal;1.09;3.27
Rheumatic Disease Clinics of North America;journal;0.93;2.67
Veterinary Journal;journal;0.92;2.69
Ecological Modelling;journal;0.88;2.97
Electronic Markets;journal;0.85;4.77
Congenital Heart Disease;journal;0.83;2.01
Journal of Behavioral and Experimental Economics;journal;0.77;1.38
Crop Science;journal;0.76;2.32
Human Dimensions of Wildlife;journal;0.75;2.77
Economic Development Quarterly;journal;0.68;1.70
Materials;journal;0.68;3.62
Gastroenterology Research and Practice;journal;0.62;2.26
Reviews in Cardiovascular Medicine;journal;0.56;2.93
International Relations of the Asia-Pacific;journal;0.54;2.32
Oeno One;journal;0.52;2.31
Italian Journal of Agronomy;journal;0.51;2.30
Journal of Biosciences;journal;0.46;1.83
Radiation and Environmental Biophysics;journal;0.46;1.93
Translation and Interpreting Studies;journal;0.45;0.60
Electronic Journal of Linear Algebra;journal;0.45;0.68
Chirality;journal;0.43;2.44
Asia Pacific Journal of Education;journal;0.40;1.06
Revista Arvore;journal;0.33;0.77
Revista Espanola de Enfermedades Digestivas;journal;0.33;2.09
Clay Minerals;journal;0.31;1.48
Croatian Medical Journal;journal;0.31;1.35
Digest Journal of Nanomaterials and Biostructures;journal;0.26;0.96
Historia Critica;journal;0.20;1.00
Portuguese Economic Journal;journal;0.17;0.72
Undersea and Hyperbaric Medicine;journal;0.16;0.70
Electronics and Communications in Japan;journal;0.13;0.32
Acta Physica Slovaca;journal;0.13;0.00
Econometrica;journal;16.70;5.84
Academy of Management Journal;journal;11.19;10.19
Sports Medicine;journal;4.09;11.14
Current Biology;journal;3.82;10.83
Open Biology;journal;3.08;6.41
Journal of Urology;journal;2.40;7.45
Seminars in Liver Disease;journal;1.87;6.12
Current Oncology Reports;journal;1.60;5.08
Investigational New Drugs;journal;1.25;3.85
Hydrological Processes;journal;1.22;3.57
BMC Medical Genomics;journal;1.11;3.06
Journal of High Energy Astrophysics;journal;1.10;4.09
Archives of Biochemistry and Biophysics;journal;1.10;4.01
Journal of Dermatology;journal;0.90;4.01
European Journal of Remote Sensing;journal;0.89;3.65
Eating Behaviors;journal;0.87;2.70
Forensic Chemistry;journal;0.81;2.68
Catalysis Communications;journal;0.80;3.63
Annales Zoologici;journal;0.60;1.00
Journal of Civil Structural Health Monitoring;journal;0.55;2.13
Propulsion and Power Research;journal;0.54;3.74
IEEE Transactions on Nuclear Science;journal;0.54;1.68
Peer-to-Peer Networking and Applications;journal;0.52;3.31
Bioethics;journal;0.49;1.90
Journal of Visualization;journal;0.45;1.33
Transfusion and Apheresis Science;journal;0.45;1.76
Tempo Social;journal;0.45;0.55
International Journal of Polymer Science;journal;0.40;2.64
Hispanic Journal of Behavioral Sciences;journal;0.37;0.80
Arabian Journal for Science and Engineering;journal;0.36;2.33
Arctic Anthropology;journal;0.33;0.70
Journal of African History;journal;0.31;0.65
Journal of Japanese Studies;journal;0.26;0.38
Economic Computation and Economic Cybernetics Studies and Research;journal;0.26;0.89
Current Optics and Photonics;journal;0.24;0.66
Bois et Forets des Tropiques;journal;0.24;0.69
Asian-Pacific Economic Literature;journal;0.23;0.74
Turkish Journal of Electrical Engineering and Computer Sciences;journal;0.23;0.81
Journal of Research of the National Institute of Standards and Technology;journal;0.20;1.03
Paedagogica Historica;journal;0.12;0.68
Perspectives on Psychological Science;journal;5.23;9.84
Chest;journal;2.65;9.41
American Journal of Epidemiology;journal;2.33;4.90
Cell Calcium;journal;2.26;6.82
Methods;journal;2.08;3.61
Mathematics of Computation;journal;1.95;2.42
Urban Studies;journal;1.92;4.66
BioDrugs;journal;1.92;5.81
British Journal of Social Psychology;journal;1.86;4.69
IEEE Transactions on Communications;journal;1.47;5.08
Obesity;journal;1.44;5.00
Tribology International;journal;1.40;4.87
Nurse Education Today;journal;1.40;3.44
Pharmacotherapy;journal;1.23;4.71
Biological Invasions;journal;1.17;3.13
IEEE Transactions on Terahertz Science and Technology;journal;1.09;3.27
Korean Journal of Radiology;journal;1.08;3.50
Geostandards and Geoanalytical Research;journal;1.04;3.62
China Journal;journal;1.03;3.84
Chinese Journal of Communication;journal;1.03;2.71
PLoS ONE;journal;0.99;3.24
Annals of Pure and Applied Logic;journal;0.94;0.68
Journal of Renal Nutrition;journal;0.92;3.66
European Journal of Cancer Care;journal;0.85;2.52
Cretaceous Research;journal;0.84;2.18
PeerJ Computer Science;journal;0.81;1.39
Journal of Plant Research;journal;0.80;2.63
Agronomy Journal;journal;0.75;2.24
Geothermal Energy;journal;0.75;2.80
Primary Care Diabetes;journal;0.74;2.46
Journal of Health Psychology;journal;0.72;3.23
Journal of Clinical Apheresis;journal;0.70;2.82
Review of Religious Research;journal;0.70;0.82
Materials Science in Semiconductor Processing;journal;0.70;3.93
Drug Development and Industrial Pharmacy;journal;0.63;3.23
Journal of Clinical Monitoring and Computing;journal;0.59;2.50
IET Intelligent Transport Systems;journal;0.58;2.50
Symbiosis;journal;0.58;2.27
Electronic Commerce Research;journal;0.56;3.75
Entomological Science;journal;0.54;1.60
American Journal of Dentistry;journal;0.50;1.52
Disaster Prevention and Management;journal;0.50;1.52
Annals of Human Biology;journal;0.48;1.53
Computer Applications in Engineering Education;journal;0.48;1.53
Minerva Endocrinologica;journal;0.45;2.18
Journal of International Criminal Justice;journal;0.43;0.81
Journal of Sustainable Forestry;journal;0.43;1.50
Exploration Geophysics;journal;0.41;0.94
Canadian Journal of Urology;journal;0.41;1.34
Cell and Tissue Banking;journal;0.40;1.52
Clinics in Podiatric Medicine and Surgery;journal;0.38;1.23
Systems Research and Behavioral Science;journal;0.37;1.75
Australian Economic Review;journal;0.31;0.75
Medicina Clinica;journal;0.27;1.73
Journal of Balkan and Near Eastern Studies;journal;0.26;1.21
Seminars in Roentgenology;journal;0.26;0.80
Agrociencia;journal;0.19;0.39
Turkish Journal of Pediatrics;journal;0.19;0.55
Review of Central and East European Law;journal;0.18;0.39
Oncologie;journal;0.10;0.33
Nature Reviews Physics;journal;10.12;31.07
Neuro-Oncology;journal;4.01;12.30
Annual Review of Sociology;book series;3.87;8.06
Conservation Letters;journal;3.15;8.11
Journal of Democracy;journal;2.58;5.33
Molecular Biology of the Cell;journal;2.46;4.14
Games and Economic Behavior;journal;2.29;1.29
Journal of Business Research;journal;2.05;7.55
Bone Marrow Transplantation;journal;1.61;5.48
BMC Public Health;journal;1.23;3.30
Orthopedic Clinics of North America;journal;1.18;2.47
FlatChem;journal;1.15;5.23
Road Materials and Pavement Design;journal;1.14;3.79
IEEE Transactions on Aerospace and Electronic Systems;journal;1.14;4.10
Journal of Specialised Translation;journal;1.11;2.06
European Journal of Cancer Prevention;journal;0.98;2.50
Operative Dentistry;journal;0.97;2.44
Prenatal Diagnosis;journal;0.96;3.05
World Journal of Gastrointestinal Oncology;journal;0.92;3.39
Comparative Politics;journal;0.90;1.80
Advances in Wound Care;journal;0.86;4.73
Journal of Earth Science;journal;0.85;2.91
Journal of Social and Clinical Psychology;journal;0.82;1.95
Men and Masculinities;journal;0.74;2.88
Transactions of the Royal Society of Tropical Medicine and Hygiene;journal;0.73;2.18
Wood Science and Technology;journal;0.63;2.51
International Journal of Plant Sciences;journal;0.63;1.79
Stochastics and Dynamics;journal;0.57;0.98
Journal of Geography in Higher Education;journal;0.55;2.46
Plant Pathology Journal;journal;0.54;1.80
International Journal of Design;journal;0.51;1.92
Review of World Economics;journal;0.43;1.52
Postepy Dermatologii I Alergologii;journal;0.41;1.84
Physics Teacher;journal;0.41;0.70
Harvard Environmental Law Review;journal;0.40;2.09
Cosmic Research;journal;0.40;0.42
Entrepreneurship Research Journal;journal;0.40;1.94
Pacific Economic Review;journal;0.34;0.91
American Surgeon;journal;0.33;0.69
Nano;journal;0.28;1.56
Chinese Journal of Electronics;journal;0.27;1.01
Revista Mexicana de Ciencias Geologicas;journal;0.19;0.63
Russian Journal of Nematology;journal;0.19;0.29
Signa Vitae;journal;0.14;0.63
CSEE Journal of Power and Energy Systems;journal;0.12;3.94
Internasjonal Politikk;journal;0.11;0.26
Nature Nanotechnology;journal;14.31;39.21
Journal of Clinical Microbiology;journal;2.35;5.95
